Detected peaks:
Time: 746.1700, Amplitude: 5.134
Time: 202.7500, Amplitude: 4.689
Time: 572.2500, Amplitude: 4.662
Time: 202.7600, Amplitude: 4.650
Time: 107.9500, Amplitude: 4.636
Time: 82.6800, Amplitude: 4.622
Time: 179.2100, Amplitude: 4.514
Time: 849.8900, Amplitude: 4.483
Time: 849.9000, Amplitude: 4.480
Time: 57.8600, Amplitude: 4.465
Time: 688.3900, Amplitude: 4.438
Time: 741.5000, Amplitude: 4.385
Time: 951.1000, Amplitude: 4.359
Time: 179.2200, Amplitude: 4.284
Time: 691.4300, Amplitude: 4.277
Time: 107.9300, Amplitude: 4.254
Time: 572.2400, Amplitude: 4.180
Time: 436.7300, Amplitude: 4.164
Time: 878.8700, Amplitude: 4.160
Time: 107.9200, Amplitude: 4.146
Time: 909.4400, Amplitude: 4.143
Time: 862.3300, Amplitude: 4.128
Time: 975.6900, Amplitude: 4.104
Time: 387.8700, Amplitude: 4.102
Time: 530.7700, Amplitude: 4.092
Time: 849.8700, Amplitude: 4.091
Time: 688.3800, Amplitude: 4.084
Time: 436.7400, Amplitude: 4.057
Time: 179.1900, Amplitude: 4.046
Time: 746.1800, Amplitude: 4.029
Time: 126.0900, Amplitude: 4.022
Time: 436.7700, Amplitude: 4.016
Time: 77.3400, Amplitude: 4.016
Time: 768.3200, Amplitude: 3.969
Time: 909.4600, Amplitude: 3.951
Time: 49.4500, Amplitude: 3.948
Time: 202.7400, Amplitude: 3.944
Time: 179.2000, Amplitude: 3.942
Time: 77.3500, Amplitude: 3.940
Time: 808.2700, Amplitude: 3.939
Time: 954.9500, Amplitude: 3.921
Time: 387.8600, Amplitude: 3.916
Time: 862.3200, Amplitude: 3.909
Time: 845.3500, Amplitude: 3.900
Time: 688.4000, Amplitude: 3.896
Time: 148.6200, Amplitude: 3.884
Time: 849.9100, Amplitude: 3.869
Time: 163.5700, Amplitude: 3.853
Time: 768.3100, Amplitude: 3.842
Time: 997.0200, Amplitude: 3.823
Time: 957.5000, Amplitude: 3.822
Time: 878.8600, Amplitude: 3.820
Time: 107.9400, Amplitude: 3.815
Time: 25.7100, Amplitude: 3.796
Time: 436.7600, Amplitude: 3.796
Time: 530.7600, Amplitude: 3.790
Time: 957.5100, Amplitude: 3.785
Time: 951.0900, Amplitude: 3.778
Time: 148.6100, Amplitude: 3.764
Time: 709.6400, Amplitude: 3.759
Time: 489.1100, Amplitude: 3.755
Time: 849.8800, Amplitude: 3.746
Time: 387.8500, Amplitude: 3.728
Time: 126.1000, Amplitude: 3.727
Time: 909.4500, Amplitude: 3.717
Time: 57.8500, Amplitude: 3.708
Time: 57.8400, Amplitude: 3.704
Time: 572.2100, Amplitude: 3.692
Time: 496.7200, Amplitude: 3.691
Time: 148.6500, Amplitude: 3.685
Time: 997.0500, Amplitude: 3.684
Time: 873.2000, Amplitude: 3.681
Time: 387.8400, Amplitude: 3.678
Time: 709.4700, Amplitude: 3.665
Time: 849.8600, Amplitude: 3.665
Time: 181.6000, Amplitude: 3.660
Time: 21.9300, Amplitude: 3.655
Time: 951.1100, Amplitude: 3.654
Time: 2.1400, Amplitude: 3.651
Time: 741.4900, Amplitude: 3.646
Time: 997.0300, Amplitude: 3.633
Time: 954.9400, Amplitude: 3.629
Time: 300.1100, Amplitude: 3.624
Time: 823.8100, Amplitude: 3.618
Time: 496.7000, Amplitude: 3.604
Time: 489.1200, Amplitude: 3.600
Time: 688.4100, Amplitude: 3.599
Time: 909.4800, Amplitude: 3.598
Time: 436.7500, Amplitude: 3.597
Time: 182.2400, Amplitude: 3.588
Time: 639.5800, Amplitude: 3.587
Time: 82.7000, Amplitude: 3.587
Time: 169.4900, Amplitude: 3.585
Time: 229.3000, Amplitude: 3.583
Time: 163.5900, Amplitude: 3.577
Time: 878.8800, Amplitude: 3.570
Time: 831.0900, Amplitude: 3.567
Time: 181.6200, Amplitude: 3.562
Time: 909.4700, Amplitude: 3.533
Time: 300.1300, Amplitude: 3.530
